iter	Passed	Remaining
0	0	112
1	0	106
2	0	107
3	0	99
4	0	98
5	1	99
6	1	94
7	1	87
8	1	87
9	1	87
10	1	87
11	2	87
12	2	87
13	2	87
14	2	88
15	2	88
16	3	88
17	3	89
18	3	89
19	3	88
20	3	88
21	4	88
22	4	88
23	4	88
24	4	88
25	4	88
26	5	87
27	5	87
28	5	87
29	5	87
30	5	87
31	5	86
32	6	87
33	6	87
34	6	87
35	6	87
36	6	87
37	7	87
38	7	88
39	7	87
40	7	88
41	8	87
42	8	87
43	8	87
44	8	87
45	8	87
46	9	87
47	9	87
48	9	87
49	9	86
50	9	86
51	10	86
52	10	86
53	10	85
54	10	85
55	10	85
56	10	84
57	11	84
58	11	84
59	11	84
60	11	84
61	11	84
62	12	84
63	12	84
64	12	83
65	12	83
66	12	83
67	13	82
68	13	82
69	13	82
70	13	82
71	13	82
72	14	82
73	14	82
74	14	82
75	14	82
76	15	82
77	15	82
78	15	82
79	15	82
80	15	82
81	16	82
82	16	82
83	16	82
84	16	82
85	17	82
86	17	82
87	17	82
88	17	82
89	18	82
90	18	81
91	18	81
92	18	81
93	18	81
94	19	81
95	19	81
96	19	80
97	19	80
98	19	80
99	20	80
100	20	80
101	20	80
102	20	80
103	21	80
104	21	79
105	21	79
106	21	79
107	21	79
108	22	79
109	22	79
110	22	79
111	22	78
112	23	78
113	23	78
114	23	78
115	23	78
116	23	78
117	24	78
118	24	78
119	24	78
120	24	77
121	25	77
122	25	77
123	25	77
124	25	77
125	25	77
126	26	76
127	26	76
128	26	76
129	26	76
130	27	76
131	27	76
132	27	76
133	27	75
134	28	75
135	28	75
136	28	75
137	28	75
138	28	74
139	29	74
140	29	74
141	29	74
142	29	74
143	30	74
144	30	73
145	30	73
146	30	73
147	30	73
148	31	73
149	31	73
150	31	73
151	31	72
152	32	72
153	32	72
154	32	72
155	32	72
156	33	72
157	33	72
158	33	71
159	33	71
160	34	72
161	34	72
162	34	72
163	35	71
164	35	71
165	35	71
166	35	71
167	36	71
168	36	70
169	36	70
170	36	70
171	36	70
172	37	70
173	37	69
174	37	69
175	37	69
176	38	69
177	38	69
178	38	69
179	38	68
180	38	68
181	39	68
182	39	68
183	39	68
184	39	67
185	40	67
186	40	67
187	40	67
188	40	67
189	41	66
190	41	66
191	41	66
192	41	66
193	42	66
194	42	66
195	42	66
196	42	65
197	42	65
198	43	65
199	43	65
200	43	64
201	43	64
202	44	64
203	44	64
204	44	64
205	44	63
206	44	63
207	45	63
208	45	63
209	45	63
210	45	62
211	46	62
212	46	62
213	46	62
214	46	61
215	46	61
216	47	61
217	47	61
218	47	61
219	47	60
220	48	60
221	48	60
222	48	60
223	48	60
224	49	59
225	49	59
226	49	59
227	49	59
228	50	59
229	50	58
230	50	58
231	50	58
232	50	58
233	51	58
234	51	57
235	51	57
236	51	57
237	52	57
238	52	57
239	52	56
240	52	56
241	53	56
242	53	56
243	53	56
244	53	55
245	53	55
246	54	55
247	54	55
248	54	55
249	54	54
250	55	54
251	55	54
252	55	54
253	55	54
254	55	53
255	56	53
256	56	53
257	56	53
258	56	52
259	57	52
260	57	52
261	57	52
262	57	52
263	57	51
264	58	51
265	58	51
266	58	51
267	58	50
268	59	50
269	59	50
270	59	50
271	59	50
272	59	49
273	60	49
274	60	49
275	61	49
276	61	49
277	61	49
278	61	49
279	62	48
280	62	48
281	62	48
282	62	48
283	63	48
284	63	47
285	63	47
286	63	47
287	64	47
288	64	46
289	64	46
290	64	46
291	64	46
292	65	46
293	65	45
294	65	45
295	65	45
296	66	45
297	66	44
298	66	44
299	66	44
300	66	44
301	67	44
302	67	43
303	67	43
304	67	43
305	68	43
306	68	42
307	68	42
308	68	42
309	69	42
310	69	42
311	69	41
312	69	41
313	69	41
314	70	41
315	70	40
316	70	40
317	70	40
318	71	40
319	71	40
320	72	40
321	72	39
322	72	39
323	72	39
324	72	39
325	73	39
326	73	38
327	73	38
328	73	38
329	74	38
330	74	37
331	74	37
332	74	37
333	75	37
334	75	37
335	75	36
336	75	36
337	76	36
338	76	36
339	76	35
340	76	35
341	76	35
342	77	35
343	77	35
344	77	34
345	77	34
346	78	34
347	78	34
348	78	33
349	78	33
350	78	33
351	79	33
352	79	33
353	79	32
354	79	32
355	80	32
356	80	32
357	80	31
358	80	31
359	81	31
360	81	31
361	81	31
362	81	30
363	81	30
364	82	30
365	82	30
366	82	29
367	82	29
368	82	29
369	83	29
370	83	29
371	83	28
372	83	28
373	84	28
374	84	28
375	84	27
376	84	27
377	84	27
378	85	27
379	85	26
380	85	26
381	85	26
382	85	26
383	86	26
384	86	25
385	86	25
386	86	25
387	87	25
388	87	24
389	87	24
390	87	24
391	88	24
392	88	24
393	88	23
394	88	23
395	88	23
396	89	23
397	89	22
398	89	22
399	89	22
400	90	22
401	90	22
402	90	21
403	90	21
404	90	21
405	91	21
406	91	20
407	91	20
408	91	20
409	92	20
410	92	19
411	92	19
412	92	19
413	92	19
414	93	19
415	93	18
416	93	18
417	93	18
418	94	18
419	94	17
420	94	17
421	94	17
422	95	17
423	95	17
424	95	16
425	95	16
426	95	16
427	96	16
428	96	15
429	96	15
430	96	15
431	96	15
432	97	15
433	97	14
434	97	14
435	97	14
436	98	14
437	98	13
438	98	13
439	98	13
440	99	13
441	99	13
442	99	12
443	99	12
444	99	12
445	100	12
446	100	11
447	100	11
448	100	11
449	101	11
450	101	11
451	101	10
452	101	10
453	102	10
454	102	10
455	102	9
456	102	9
457	102	9
458	103	9
459	103	8
460	103	8
461	103	8
462	104	8
463	104	8
464	104	7
465	104	7
466	104	7
467	105	7
468	105	6
469	105	6
470	105	6
471	105	6
472	106	6
473	106	5
474	106	5
475	106	5
476	107	5
477	107	4
478	107	4
479	107	4
480	107	4
481	108	4
482	108	3
483	108	3
484	108	3
485	109	3
486	109	2
487	109	2
488	109	2
489	109	2
490	110	2
491	110	1
492	110	1
493	110	1
494	111	1
495	111	0
496	111	0
497	111	0
498	111	0
499	112	0
